ACCIDENT_YEAR	ACCIDENT_MONTH	LOCATION_NAME	REGION	CITY	ROLE	FATAL_VICTIM_COUNT
2019	June		Lower Mainland	DELTA	Driver	1
2018	May	PETERS RD & PETERS RD OFFRAMP & PETERS RD ONRAMP & PETERS RD UNDERPASS & TRANS-CANADA HWY	Lower Mainland	POPKUM	Passenger	1
2020	February	NO 3 RD & NO 3 RD OFFRAMP & NO 3 RD ONRAMP & TRANS-CANADA HWY	Lower Mainland	ABBOTSFORD	Pedestrian	1
2020	September	MCGUIRE RD & PREST RD	Lower Mainland	CHILLIWACK	Driver	1
2017	April	SE MARINE DR # 000390 TO 000448	Lower Mainland	VANCOUVER	Driver	1
2021	August	104 AVE & 104 AVE OFFRAMP & 104 AVE ONRAMP & 104 AVENUE FLYOVER & 160 ST & 160 ST ONRAMP & 164 ST & 164 ST OFFRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & TURNING LANE	Lower Mainland	SURREY	Passenger	2
2019	August	HORSESHOE BAY DR # 006720 TO 007359	Lower Mainland	WEST VANCOUVER	Driver	1
2017	March	FRASER HWY & 180 ST	Lower Mainland	SURREY	Driver	1
2019	September	176 ST & 40 AVE	Lower Mainland	SURREY	Driver	1
2021	November	280 ST # 010400 TO 010799	Lower Mainland	MAPLE RIDGE	Passenger	1
2020	July	7400 HWY 99	Lower Mainland	PEMBERTON	Driver	1
2019	November	LADNER TRUNK RD # 005800 TO 005898	Lower Mainland	DELTA	Pedestrian	1
2020	November	BYRNE RD & MARINE DR & SOUTHRIDGE DR & TURNING LANE	Lower Mainland	BURNABY	Passenger	1
2017	November	W 16TH AVE & WESBROOK MALL	Lower Mainland	UBC	Driver	1
2021	October	IRONWORKERS MEMORIAL BRIDGE	Lower Mainland	NORTH VANCOUVER	Driver	1
2019	December	188 ST & 56B AVE	Lower Mainland	SURREY	Pedestrian	1
2017	October	40 AVE & KING GEORGE BLVD	Lower Mainland	SURREY	Driver	1
2017	July	149 ST # 010150 TO 010259	Lower Mainland	SURREY	Pedestrian	1
2018	October	176 ST & 32 AVE & TURNING LANE	Lower Mainland	SURREY	Driver	1
2018	November	HWY 1	Lower Mainland	SURREY	Driver	1
2019	November	500 NELSON ST	Lower Mainland	VANCOUVER	Driver	1
2021	December	152 ST & 152 ST OFFRAMP & HWY 99 & MALL ACCESS	Lower Mainland	SURREY	Driver	1
2021	September	11000 HWY 17	Lower Mainland	SURREY	Driver	1
2018	September	56 AVE # 015200 TO 015338	Lower Mainland	SURREY	Pedestrian	1
2019	November	8400 BOUNDARY RD	Lower Mainland	VANCOUVER	Driver	1
2021	October	4500 17A AVE	Lower Mainland	DELTA	Driver	1
2017	January	MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & TRANS-CANADA HWY & TURNING LANE	Lower Mainland	NORTH VANCOUVER	Driver	1
2017	December	CAMBIE ST & DUNSMUIR ST	Lower Mainland	VANCOUVER	Passenger	1
2018	August	W BROADWAY # 002100 TO 002199	Lower Mainland	VANCOUVER	Driver	1
2021	August	ELLERSLIE AVE & HASTINGS ST	Lower Mainland	BURNABY	Pedestrian	1
2017	September	LOUGHEED HWY # 026950 TO 028099	Lower Mainland	MAPLE RIDGE	Driver	1
2020	September	LKI HWY 0007 SEG# 2755 OFFSET 17.70 KM	Lower Mainland	HOPE	Driver	1
2020	January	BURMA ST & DEWDNEY TRUNK RD	Lower Mainland	MISSION	Driver	1
2018	April	CLARK DR & E 12TH AVE	Lower Mainland	VANCOUVER	Pedestrian	1
2019	January	4600 72 AVE	Lower Mainland	DELTA	Driver	1
2018	October	ROSS ST & SE MARINE DR	Lower Mainland	VANCOUVER	Pedestrian	1
2019	September	SANDPIPER DR # 030860 TO 030999	Lower Mainland	ABBOTSFORD	Pedestrian	1
2021	November	16 AVE # 017700 TO 018399	Lower Mainland	SURREY	Driver	1
2021	November	NO 4 RD & WESTMINSTER HWY	Lower Mainland	RICHMOND	Passenger	1
2018	July	SOUTH PARALLEL RD	Lower Mainland	ABBOTSFORD	Other	1
2018	March	GARDEN CITY RD & SAUNDERS RD	Lower Mainland	RICHMOND	Passenger	1
2021	February	BERKEY CREEK BRIDGE	Lower Mainland	HOPE	Driver	1
2017	September	LKI HWY 0003 SEG# 2205 OFFSET 11.63 KM	Lower Mainland	HOPE	Passenger	1
2019	June	LOUGHEED HWY # 004100 TO 004298	Lower Mainland	BURNABY	Pedestrian	1
2018	November	E 30TH AVE & MAIN ST	Lower Mainland	VANCOUVER	Pedestrian	1
2019	January	W ESPLANADE # 000100 TO 000123	Lower Mainland	NORTH VANCOUVER	Cyclist	1
2019	December	CYPRESS BOWL RD # 004100 TO 004499	Lower Mainland	WEST VANCOUVER	Cyclist	1
2020	February	GARIBALDI WAY # 001900 TO 001909	Lower Mainland	SQUAMISH	Pedestrian	1
2018	June	17A AVE	Lower Mainland	DELTA	Other	1
2020	November	CAMBIE RD & SEXSMITH RD	Lower Mainland	RICHMOND	Pedestrian	1
2017	March	ARTHUR DR & DELTAPORT WAY & TURNING LANE	Lower Mainland	DELTA	Driver	1
2018	August	LKI HWY 0099 SEG# 2933 OFFSET 28.04 KM	Lower Mainland	MOUNT CURRIE	Driver	1
2020	August	HWY 99	Lower Mainland	WHISTLER	Driver	1
2017	September	HOLLY DR & LOUGHEED HWY	Lower Mainland	COQUITLAM	Passenger	1
2020	March	VEDDER MOUNTAIN RD	Lower Mainland	CHILLIWACK	Passenger	1
2021	November	DAVIE ST & THURLOW ST	Lower Mainland	VANCOUVER	Pedestrian	1
2018	July	LKI HWY 0011 SEG# 2747 OFFSET 9.32 KM	Lower Mainland	MISSION	Driver	1
2019	February	COMMERCIAL DR & E HASTINGS ST	Lower Mainland	VANCOUVER	Pedestrian	1
2021	September	BERESFORD ST & MACPHERSON AVE	Lower Mainland	BURNABY	Driver	1
2021	March	184 ST # 004782 TO 004809	Lower Mainland	SURREY	Driver	1
2019	June	LKI HWY 0007 SEG# 2234 OFFSET 12.28 KM	Lower Mainland	DEROCHE	Driver	1
2019	April	FRASER HWY & STEVENS ST	Lower Mainland	ABBOTSFORD	Pedestrian	1
2019	September	TRANS-CANADA HWY & WHATCOM RD & WHATCOM RD OFFRAMP & WHATCOM RD ONRAMP	Lower Mainland	ABBOTSFORD	Driver	1
2017	June	RYAN RD # 010000 TO 010160	Lower Mainland	RICHMOND	Pedestrian	1
2021	October	LOUGHEED HWY # 061587 TO 062097	Lower Mainland	HOPE	Pedestrian	1
2021	October	E 41ST AVE & RUPERT ST	Lower Mainland	VANCOUVER	Driver	1
2020	December	XITOLACW RD # 010135 TO 010145	Lower Mainland	MOUNT CURRIE	Other	1
2021	August	HEADLAND DR & KEITH RD	Lower Mainland	WEST VANCOUVER	Driver	1
2018	September	DIXON RD & NO 5 RD	Lower Mainland	ABBOTSFORD	Driver	1
2017	March	CANADA WAY & RAYSIDE AVE	Lower Mainland	BURNABY	Driver	1
2020	July	172 ST & 56 AVE	Lower Mainland	SURREY	Pedestrian	1
2021	October	HANEY BYPASS # 022650 TO 022799	Lower Mainland	MAPLE RIDGE	Driver	1
2019	February	CAMBIE ST & W 57TH AVE	Lower Mainland	VANCOUVER	Driver	1
2020	February	JACKSON AVE & POWELL ST	Lower Mainland	VANCOUVER	Pedestrian	1
2018	August	176 ST & 96 AVE & GOLDEN EARS WAY & TURNING LANE	Lower Mainland	SURREY	Passenger	2
2017	September	CHEAM AVE & YOUNG RD	Lower Mainland	CHILLIWACK	Cyclist	1
2017	January	RIVER RD # 020818 TO 021327	Lower Mainland	RICHMOND	Driver	1
2020	March	152 ST & FRASER HWY & TURNING LANE	Lower Mainland	SURREY	Other	1
2018	May	HASTINGS ST & WARWICK AVE	Lower Mainland	BURNABY	Driver	1
2021	July	25TH ST & MARINE DR	Lower Mainland	WEST VANCOUVER	Pedestrian	1
2020	August	BRUNETTE AVE & BRUNETTE AVE OFFRAMP & BRUNETTE AVE ONRAMP & TRANS-CANADA HWY	Lower Mainland	COQUITLAM	Passenger	1
2018	November	HARRIS RD & LOUGHEED HWY & TURNING LANE	Lower Mainland	PITT MEADOWS	Pedestrian	1
